labels	kor_sentence
neutral	대설특보가 내린 광주광역시에서 10대 중학생이 실종돼 경찰이 수색에 나섰다. 19일 경찰에 따르면 광주북부경찰서는 광주 북구 일곡마을로에서 실종된 중학생 정창현(13)군에 대한 실종경보를 발령했다. 경찰은 주거지... 
negative	"사진제공=목포해양경찰 해경이 지난 주말 전남 도서지역에서 발생한 응급환자 3명을?육지로 이송했다. 19일 목포해경에 따르면 18일 오후 4시 34분께 신안군 도초도에서 주민 A씨(50대, 남)가 글라인더 작업 중 손을... "
positive	19일?전남 구례군 마산면 황전리 지리산 국립공원 일대에서 산불이 발생한 가운데?광주광역시 동구와 전남... 한편 경찰은 빙판길에 차가 미끄러져 사고가 난 것으로 보고 정확안 사고 경위 등을 조사하고 있다
positive	19일 경찰과 소방당국에 따르면 이날 오전에만 광주·전남에서 보행자 낙상사고 8건이 발생한 것으로 잠정 집계됐다. 이날 오전 8시 37분경 광주 북구 오치동의 한 거리에서 목욕탕에 가던 60대 남성이 눈길에 미끄러져... 
positive	19일 오전 8시53분쯤 광주와 전남 화순을 연결하는 신너릿재 터널에서 차량 3중 추돌 사고가 발생했다.... 들이받으며 연속 추돌사고가 발생한 것으로 알려졌다. 경찰은 운전자를 상대로 정확한 사고 경위를 조사하고 있다.
positive	광주·전남에 사흘째 눈이 내려 일부 도로와 뱃길이 통제되는가 하면 차량과 보행자들의 눈길 빙판길... 경찰과 소방당국에 따르면 이날 오전 8시 37분께 광주 북구 오치동 한 거리에서 목욕탕에 가던 60대 남성이... 
positive	태양광 발전 시설 설치 명목으로 거액의 계약금만 받아 도주한 사기단이 무더기 검거됐다.19일 전남경찰청 반부패경제범죄수사1대는 최근 태양광 발전시설 설치 사업을 허위로 꾸며 계약금만 가로챈 혐의(특정경제범... 
positive	한편 경찰은 정확한 사고 원인을 조사하고 있다. ◆목포서 중앙선 넘은 SUV가 승용차와 충돌...2명 경상 17일 저녁 6시 40분경  전남 목포시 상동 편도 2차로에서 SUV 한 대가 중앙선을 넘어 마주 오던 승용차와 충돌했다.... 
positive	사흘째 많은 눈이 내린 광주·전남에서는 차량과 보행자들의 눈길 빙판길 미끄러짐 사고가 이어졌다. 19일 경찰과 소방당국에 따르면 이날 오전 8시 37분께 광주 북구 오치동 한 거리에서 목욕탕에 가던 60대 남성이... 
positive	전남 화순군을 잇는 도로의 신너릿재 터널 안에서 차량 3대가 잇따라 부딪히는 사고가 발생했다. 차량 연쇄 추돌사고로 출근길 도로가 다소 정체 현상을 빚었지만 인명피해는 발생하지 않은 것으로 파악됐다. 경찰은... 
positive	"전남 화순군을 잇는 도로의 신너릿재 터널 안에서 차량 3대가 잇따라 부딪히는 사고가 발생했다. 눈과 비가 얼면서 차량이 미끄러진 것으로 보이며, 심각한 인명피해는 발생하지 않은 것으로 알려졌다. 신고를 받은 경찰... "
